comment_id,sentence_id,order
h2yi82t,f0016236-f87f-4ab4-8689-42ce66fa6295,0
h2yi82t,67e23947-8c13-4427-ad59-ae1398f2f225,1
h2yi82t,77d4e3cb-b557-47e7-bd79-39cee78d3e02,2
h2yi82t,def31337-ba79-49a8-8b07-910b355aaa56,3
h2yi82t,2bfb56cf-db29-4ab8-87d6-db696fda292c,4
h2yi82t,b80d6f28-6076-4b15-892f-017b52b6c978,5
h2yi82t,c2da7222-ceee-4784-ba44-d0012384828f,6
h2yi82t,fb3eb430-6dc0-445c-ae4d-eec6086d0a95,7
h2yi82t,47b96bda-4a82-4664-9878-e30f6b556fa3,8
h2yi82t,e5c6ae7c-1ca4-4de0-b8a7-9294406210fe,9
imueh4r,a6aefb75-f1e7-4be2-bc80-81c55d1e21b9,0
imueh4r,6be9af70-a828-4134-9ca4-21fffa42af26,1
imueh4r,4c502333-6ecd-4e49-aca8-18c871f2d619,2
imueh4r,7a2039bd-15ca-4d35-adad-c840f4945d0e,3
imueh4r,a28a8997-e6df-4dfe-9dc2-8ab708df5e64,4
h2y4cns,aa1967c7-4a13-4cf0-a878-b7d9bf8db157,0
h5gns4i,b390ab1d-3048-4db3-8452-f79a89798345,0
h91v52j,716266e3-218b-4754-a5e4-26cb03350cb2,0
h91v52j,57f771ab-4300-4019-8157-df7396f3431d,1
h91v52j,5216e389-4f1c-4c1c-accf-fa7fa0f5e19e,2
h91v52j,7c43eb47-b860-4cbe-98ca-706742658295,3
h91v52j,85a27100-d4c6-4146-9e30-e84bbf2fa664,4
i3q40pt,76e63327-11d9-4f74-8b9c-360f1b88830e,0
i3q40pt,db33dad5-9a7e-464a-9871-c1f3b64412f6,1
i3q40pt,494bd7ef-1055-4c32-831f-5ff12065bf7f,2
hdn497d,d9b1e498-cfa1-40db-a891-c485a718595e,0
hdn497d,6a3cb907-e719-4680-85dd-047103a1abf3,1
hdn497d,ce80a1ec-4f3b-4cf1-b984-1ca4d2967aa2,2
hdn497d,c05c41b6-a258-480a-8044-01ea763cf0ec,3
hkjzhvm,c86892d9-1869-4fed-8950-82e52082956d,0
hkjzhvm,d2b8ae43-82c1-4ff2-9c2a-96ed9c15ff31,1
